Radiologist ID,Date,Avg Temp (°C),Rainfall (mm),Travel Cost (£),Internet Issues at Home,Trainee Assigned,Supervised Session,Cold Session,Admin Work,Morning Shift Work Location,Afternoon Shift Work Location
R1,2023-07-03,15.025666,1.1000001,8.01,No,Yes,No,No,No,office,office
R2,2023-07-03,15.025666,1.1000001,13.41,No,Yes,No,No,No,office,office
R3,2023-07-03,15.025666,1.1000001,8.41,No,No,No,No,Yes,office,home
R4,2023-07-03,15.025666,1.1000001,11.27,Yes,No,No,No,Yes,office,office
R5,2023-07-03,15.025666,1.1000001,14.47,No,No,No,No,No,home,home
R6,2023-07-03,15.025666,1.1000001,14.55,No,No,No,No,No,home,office
R7,2023-07-03,15.025666,1.1000001,12.41,No,No,No,No,No,home,home
R8,2023-07-03,15.025666,1.1000001,7.66,No,No,No,No,No,office,office
R9,2023-07-03,15.025666,1.1000001,5.8,No,No,No,No,No,home,home
R10,2023-07-03,15.025666,1.1000001,13.6,No,No,No,No,No,office,home
R11,2023-07-03,15.025666,1.1000001,12.61,No,No,No,No,No,office,home
R1,2023-07-04,14.558999,10.8,8.01,No,No,No,No,No,office,home
R2,2023-07-04,14.558999,10.8,13.41,No,No,No,No,No,home,office
R3,2023-07-04,14.558999,10.8,8.32,No,Yes,No,No,No,office,office
R4,2023-07-04,14.558999,10.8,11.27,No,Yes,No,No,No,office,office
R5,2023-07-04,14.558999,10.8,9.77,Yes,No,No,No,No,office,office
R6,2023-07-04,14.558999,10.8,11.01,Yes,No,No,No,No,office,office
R7,2023-07-04,14.558999,10.8,12.41,No,No,No,No,No,office,office
R8,2023-07-04,14.558999,10.8,7.66,No,No,No,No,No,home,home
R9,2023-07-04,14.558999,10.8,5.18,No,No,No,No,No,home,home
R10,2023-07-04,14.558999,10.8,9.8,No,No,No,No,No,office,home
R11,2023-07-04,14.558999,10.8,8.68,No,No,No,No,No,home,home
R1,2023-07-05,15.009,16.8,11.56,No,No,No,No,No,office,office
R2,2023-07-05,15.009,16.8,23.29,No,No,No,No,Yes,home,home
R3,2023-07-05,15.009,16.8,8.8,No,No,No,No,No,office,home
R4,2023-07-05,15.009,16.8,11.27,No,No,No,No,No,office,home
R5,2023-07-05,15.009,16.8,18.1,No,Yes,No,No,No,office,office
R6,2023-07-05,15.009,16.8,22.11,No,Yes,No,No,No,office,office
R7,2023-07-05,15.009,16.8,19.22,No,No,No,No,No,home,home
R8,2023-07-05,15.009,16.8,7.66,No,No,No,No,Yes,home,home
R9,2023-07-05,15.009,16.8,5.18,No,No,No,No,No,office,home
R10,2023-07-05,15.009,16.8,9.14,No,No,No,No,No,office,home
R11,2023-07-05,15.009,16.8,8.68,No,No,No,No,No,home,office
R1,2023-07-06,16.063166,0.0,10.72,No,No,No,No,No,office,office
R2,2023-07-06,16.063166,0.0,9.05,No,No,No,No,No,home,home
R3,2023-07-06,16.063166,0.0,8.68,No,No,No,No,No,office,office
R4,2023-07-06,16.063166,0.0,14.48,No,No,No,No,No,office,office
R5,2023-07-06,16.063166,0.0,9.77,No,No,No,No,Yes,office,home
R6,2023-07-06,16.063166,0.0,11.01,Yes,No,No,No,No,office,office
R7,2023-07-06,16.063166,0.0,12.41,No,Yes,No,No,No,office,office
R8,2023-07-06,16.063166,0.0,7.66,No,Yes,No,No,No,office,office
R9,2023-07-06,16.063166,0.0,5.18,No,No,No,No,No,office,home
R10,2023-07-06,16.063166,0.0,9.8,No,No,No,No,Yes,office,home
R11,2023-07-06,16.063166,0.0,8.68,No,No,No,No,Yes,office,office
R1,2023-07-07,19.29025,0.0,8.01,No,No,No,No,Yes,office,office
R2,2023-07-07,19.29025,0.0,13.41,No,No,No,No,No,home,home
R3,2023-07-07,19.29025,0.0,8.32,No,No,No,No,No,home,office
R4,2023-07-07,19.29025,0.0,6.62,No,No,No,No,No,office,office
R5,2023-07-07,19.29025,0.0,5.69,No,No,No,No,No,home,office
R6,2023-07-07,19.29025,0.0,12.64,No,No,No,No,Yes,office,home
R7,2023-07-07,19.29025,0.0,12.41,No,No,No,No,Yes,office,office
R8,2023-07-07,19.29025,0.0,7.66,Yes,No,No,No,No,home,home
R9,2023-07-07,19.29025,0.0,5.18,No,Yes,No,No,Yes,office,office
R10,2023-07-07,19.29025,0.0,9.8,No,Yes,No,No,No,office,office
R11,2023-07-07,19.29025,0.0,8.68,No,No,No,No,No,office,office
R1,2023-07-10,19.090254,0.1,9.81,No,Yes,No,No,No,office,office
R2,2023-07-10,19.090254,0.1,14.08,No,No,No,No,No,office,office
R3,2023-07-10,19.090254,0.1,8.32,No,No,No,No,No,home,office
R4,2023-07-10,19.090254,0.1,13.8,Yes,No,No,No,No,office,office
R5,2023-07-10,19.090254,0.1,6.81,No,No,No,No,Yes,office,office
R6,2023-07-10,19.090254,0.1,7.86,Yes,No,No,No,No,office,office
R7,2023-07-10,19.090254,0.1,12.41,No,No,No,No,No,office,home
R8,2023-07-10,19.090254,0.1,7.66,No,No,No,No,No,office,office
R9,2023-07-10,19.090254,0.1,8.86,No,No,No,No,No,home,home
R10,2023-07-10,19.090254,0.1,12.59,No,No,No,No,Yes,office,home
R11,2023-07-10,19.090254,0.1,12.73,No,Yes,No,No,Yes,office,office
R1,2023-07-11,19.490255,4.8,8.01,No,No,No,No,No,office,home
R2,2023-07-11,19.490255,4.8,13.41,No,Yes,No,No,Yes,office,office
R3,2023-07-11,19.490255,4.8,9.48,No,Yes,No,No,No,office,office
R4,2023-07-11,19.490255,4.8,11.27,No,No,No,No,No,office,home
R5,2023-07-11,19.490255,4.8,7.78,No,No,No,No,No,office,office
R6,2023-07-11,19.490255,4.8,11.01,Yes,No,No,No,No,office,office
R7,2023-07-11,19.490255,4.8,12.41,Yes,No,No,No,No,office,office
R8,2023-07-11,19.490255,4.8,7.9,No,No,No,No,No,home,home
R9,2023-07-11,19.490255,4.8,9.9,Yes,No,No,No,Yes,office,office
R10,2023-07-11,19.490255,4.8,6.0,Yes,No,No,No,No,office,home
R11,2023-07-11,19.490255,4.8,8.68,No,No,No,No,No,office,office
R1,2023-07-12,17.234,1.0,13.99,No,No,No,No,No,home,office
R2,2023-07-12,17.234,1.0,13.41,No,No,No,No,No,office,home
R3,2023-07-12,17.234,1.0,8.32,No,No,No,No,No,office,office
R4,2023-07-12,17.234,1.0,11.27,No,Yes,No,No,No,office,office
R5,2023-07-12,17.234,1.0,14.83,No,Yes,No,No,No,office,office
R6,2023-07-12,17.234,1.0,11.01,Yes,No,No,No,No,office,office
R7,2023-07-12,17.234,1.0,5.85,No,No,No,No,No,home,office
R8,2023-07-12,17.234,1.0,7.66,No,No,No,No,No,home,home
R9,2023-07-12,17.234,1.0,5.18,No,No,No,No,No,office,home
R10,2023-07-12,17.234,1.0,5.54,No,No,No,No,No,office,home
R11,2023-07-12,17.234,1.0,8.68,No,No,No,No,No,office,home
R1,2023-07-13,16.9465,1.0,13.83,No,No,No,No,Yes,office,office
R2,2023-07-13,16.9465,1.0,13.41,No,No,No,No,No,office,office
R3,2023-07-13,16.9465,1.0,8.32,No,No,No,No,No,home,home
R4,2023-07-13,16.9465,1.0,11.27,Yes,No,No,No,No,office,office
R5,2023-07-13,16.9465,1.0,7.6,No,No,No,No,No,office,home
R6,2023-07-13,16.9465,1.0,13.5,Yes,Yes,No,No,Yes,office,office
R7,2023-07-13,16.9465,1.0,12.41,No,Yes,No,No,No,office,office
R8,2023-07-13,16.9465,1.0,7.66,No,No,No,No,No,home,home
R9,2023-07-13,16.9465,1.0,12.76,No,No,No,No,No,office,office
